id,keys,words
37557,964 2311 2682 2992 6464 11869 41277 ,servant cabaret shanghai diva uncle mistress umbrella 
9909,897 3436 6270 6610 10508 155582 ,rap music karate high school naval officer teacher amusement park 
63,222 276 277 278 4379 4458 4565 14675 15149 162801 ,schizophrenia philadelphia cassandra syndrom stockholm syndrome time travel post-apocalyptic dystopia lethal virus monkey subterranean 
9598,3020 4931 5608 8082 11115 11477 18013 33671 158019 206052 ,sheep pig affection piglet heroism talking animal separation german shepherd grandson talking pig 
47018,392 437 8997 10183 13065 ,england painter conscientious objector independent film soldier 
687,378 570 1952 2060 2122 2300 2501 2538 2726 2796 2885 3012 3437 3440 3441 3442 3446 3447 3448 3927 6059 6145 6148 11263 13001 ,prison rape socially deprived family penalty death penalty despair death row begnadigung therapist self-discovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage and hate unsociability right and justice court electric chair cowardliness 
33689,13014 204353 ,orphan identical twin 
9603,1525 6270 6664 7208 10199 11933 187056 ,puberty high school make a match spoiled child gay interest conflict woman director 
34615,3644 ,south africa 
31174,392 497 1930 9826 13084 ,england shakespeare kidnapping murder king 
11443,10594 11254 159640 159643 159660 159661 ,money loss of virginity hiding in a dumpster mercy killing armored truck crushed by a car 
35196,931 1279 2098 6148 10329 44448 44449 ,jealousy medicine fountain court wealth spaniel gloves 
9312,779 1299 2041 10292 10821 12380 14819 41645 188955 ,martial arts monster island gore sorcerer tournament violence based on video game hand to hand combat 
577,596 1442 1523 2136 6018 208477 ,adultery winter obsession television new hampshire narcissistic personality disorder 
11861,1334 1459 2587 5773 5999 6038 9470 9673 33694 34094 164039 187056 ,wedding vows marriage proposal married couple monogamy advice marriage quilt love family holiday extramarital affair grandmother woman director 
807,476 703 1470 2231 3597 3857 3927 3932 4138 4142 5340 6125 6149 10714 ,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration lust and impulsiveness rage and hate pride and vanity immoderateness insomnia investigation pension police serial killer 
10530,1463 3591 3691 4090 4344 4542 7376 9840 10322 10336 160977 165086 173808 173811 173815 173823 173824 173825 180217 185343 207941 208426 225547 230456 234183 234184 234185 ,culture clash settler forbidden love colony musical gold rush princess romance native american animation virginia star crossed lovers reference to pizarro jamestown virginia pug dog cross cultural relationship musket animate tree indian chief based on myths or folklore 17th century shamanism songs indians vs. settlers animal sidekick powhatan land claim 
8391,1992 158718 187056 ,professor lgbt woman director 
629,3703 5493 14604 15009 18023 18024 18027 ,law relatives theft criminal criminal mastermind hungarian sibling 
11448,549 2393 4130 5885 6230 8018 10183 33625 208349 ,prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother independent film illegal prostitution child 
49133,10183 ,independent film 
26441,6075 9963 13042 187056 ,sport kids and family soccer woman director 
97406,567 2679 6027 14964 33624 ,alcohol artist music drug band 
9089,2672 4543 7629 155294 171760 187056 ,baltimore thanksgiving family clan family conflict generations conflict woman director 
11010,2041 3344 4461 5420 5933 ,island letter postman fisherman poet 
11359,1990 6186 6300 33465 187065 ,cupboard games puppet parallel world toy comes to life 
17182,570 1419 2801 204959 ,rape gun self-defense grieving parents 
2054,1233 1310 1635 4344 4488 5289 6027 158558 ,composer mentor deaf-mute musical apprentice private life music disabled 
10607,248 398 898 4438 9755 10700 10726 11514 12425 13142 ,date slang hip-hop cousin parody hood gang social satire racism gangster 
19760,2041 5918 9727 167868 ,island painting thief seasickness 
9536,4166 4459 6305 ,biotope vegetarian pollution 
11525,2157 4563 6104 9725 ,hacker virtual reality computer sword fight 
4482,128 2335 2918 3190 4580 187056 ,love triangle southern france estate agent menage a trois van woman director 
10634,897 970 4562 8438 ,rap music parent child relationship rapper job 
755,246 380 459 797 798 1664 2483 2492 3133 3649 4063 6593 10093 14601 14687 15363 18072 18233 41380 163795 167664 168152 174878 188711 191441 227811 ,dancing brother brother relationship sexual obsession showdown sheriff eroticism nudity bank robber vampire holy water siege stripper priest explosion extreme violence bank robbery preacher hostage situation crucifix recreational vehicle blood spurting convenience store female vampire mexican american border nightclub entertainer boa constrictor 
11859,258 416 572 703 772 818 1562 1812 1930 2808 3278 3713 4426 4530 4735 5430 6259 9714 9844 10410 10562 10718 10950 12371 13125 14967 15167 15321 15483 18320 18525 33456 34117 155555 156650 156788 156816 158247 176802 181145 188294 ,bomb miami sex detective handcuffs based on novel hostage fbi kidnapping russian kgb chase sadism parking garage pizza police protection psychopath remake car crash conspiracy on the run fugitive shootout gunfight sadist foot chase police detective police station car chase held at gunpoint fbi agent double cross cult film computer hacker machine gun swat team grenade launcher underwater scene rogue agent woman lawyer damsel in distress 
28387,3616 ,college 
48750,90 745 2792 10909 11508 ,paris nun boxer lawyer jewish 
20927,2778 10235 ,florist family relationships 
36929,10624 ,bully 
9102,312 10158 15354 ,man vs machine alien planet struggle for survival 
27526,6381 6440 9748 9937 10183 10614 ,loss of daughter hit-and-run driving  revenge suspense independent film tragedy 
9623,1417 1936 3012 5153 11038 33519 ,jurors blackmail court case son trial courtroom 
46785,1357 10594 33648 40846 ,fish money celebration goldfish 
400,494 801 1422 1587 1909 1977 2022 2340 2708 6054 6259 9748 9826 10183 10391 10738 11221 13142 14819 33625 34094 ,father son relationship bounty hunter boat way of life coffin denver godmother paranoia hitman friendship psychopath revenge murder independent film mafia diner blood gangster violence illegal prostitution extramarital affair 
880,236 240 460 490 570 791 936 1842 1956 2383 3154 3371 4129 4402 5331 6009 6089 6145 9457 10180 10707 11925 13160 187056 ,suicide underdog free love philosophy rape mentally disabled loss of mother village life world war ii feminism indian summer  family history widow peasant village mathematics freedom right and justice single homosexuality mother daughter relationship domestic violence university woman director 
146599,6984 10235 11004 12532 ,racial segregation family relationships rural setting african american 
8447,4034 7579 14760 182662 208526 ,class society rich woman - poor man scientist naturalist insect 
10534,2082 2913 3180 10349 10683 18068 46962 167836 167837 167843 167861 167863 167868 168683 208992 ,sailing trip diary sailing survival coming of age teenage boy discipline squall sail ship captain caribbean male bonding seasickness storm at sea 1960s 
17414,5306 5572 10624 14762 158039 ,boss fistfight bully orangutan hotel manager 
13997,169078 169079 169085 169086 169097 187056 ,nitrous oxide candid camera double act political satire crooked politician woman director 
2086,441 477 6078 12670 ,assassination train station politics los angeles 
9095,964 1299 10124 156033 191009 207928 ,servant monster laboratory jekyll and hyde housemaid 19th century 
12158,3133 3630 ,vampire half vampire 
9283,155808 ,hometown 
9208,720 1261 1316 1353 1666 1825 3203 5572 8122 9052 10085 12371 13008 14601 15263 18034 162365 208547 209476 214472 215861 219869 ,helicopter river captain underground mexican standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park ranger desert military nuclear device boxing stealth aircraft abandoned mine humvee 
40154,14531 185011 207317 207716 ,play hamlet christmas actor 
406,90 376 379 642 796 898 1419 1952 1974 1975 3925 9748 14632 14819 15090 156052 156702 160910 ,paris neo-nazi skinhead robbery police brutality hip-hop gun socially deprived family breakdance arabian boredom revenge suburb violence police officer unemployment capture xenophobia 
63076,2398 12396 13059 ,narration hollywood prostitution 
11062,417 1568 1601 1919 2231 2946 4654 5340 6149 14964 ,corruption undercover war on drugs mayor drug dealer presidential election undercover agent investigation police drug 
13685,380 642 1437 2568 2669 10183 10323 13097 14604 15274 187710 187717 ,brother brother relationship robbery burglar language barrier motel independent film psychiatric hospital maid theft nervous breakdown escapade laundry room 
2045,1157 1706 6149 9826 9937 10937 160313 163114 168069 ,wife husband relationship experiment police murder suspense memory forensic gunman animal experimentation 
9614,936 1872 2702 6075 6128 ,loss of mother loss of father golf sport taxes 
688,455 596 699 1003 1157 2029 2038 2784 3450 3451 3452 4402 5809 6025 6059 7879 221355 ,farewell adultery love at first sight photographer wife husband relationship iowa love of one's life mother role bridge housewife love letter peasant marriage crisis photography unsociability secret love nature documentary 
11907,530 3392 9457 13072 187056 196682 ,prophecy voodoo single falling in love woman director rich man 
10874,2041 4418 6300 6956 ,island pirate gang puppet treasure hunt 
96357,156121 ,ex-con 
197,30 388 930 3754 4097 6987 162845 189433 ,individual scotland in love with enemy legend independence idealism revolt tyranny 
103,422 444 1523 2231 4225 7002 7368 9622 11325 33625 167104 ,vietnam veteran taxi obsession drug dealer night shift vigilante alienation misanthrope shot to death illegal prostitution loner 
33542,242 779 1545 2987 4640 10726 13027 33461 161307 179431 ,new york martial arts supermarket gang war disabled child gang wedding diamond bronx duringcreditsstinger 
71754,6015 40897 164742 188645 ,mining dance lesson coal mining bagpipes 
43612,12392 15016 17953 177035 187056 ,best friend twins country identity swap woman director 
51352,1755 2450 4020 4399 4434 10360 11728 15199 ,fascism auschwitz typhus victim interview prejudice burglary rabbit 
16934,212 351 9672 9826 10714 11857 13130 15106 232550 234682 ,london england poison based on true story murder serial killer mental institution teenager psychiatrist stepmother social misfit 
10324,1253 9457 9673 10183 12392 158967 ,roommate single love independent film best friend brooklyn bridge 
78406,380 7375 10909 155881 208563 ,brother brother relationship twin brother lawyer estate santa barbara california 
55731,1668 5657 10508 33885 175976 ,hawaii australia teacher car solar power 
11066,2273 2336 3836 6779 7769 8642 9094 ,role of women ladykiller success ladies' man chefin casanova womanizer 
11104,1595 3391 5490 6618 9840 12354 180294 185265 185266 ,ex-girlfriend drug smuggle girlfriend snack bar romance hong kong pineapple expiration date flight attendant 
2074,5498 6230 6231 10183 ,lsd looking for  birth parents half-brother independent film 
27793,334 2343 ,flying magic 
44284,187056 ,woman director 
32622,10183 187056 ,independent film woman director 
73067,5202 13028 14985 187844 208501 ,boy writer ireland flashback troop ship 
11863,550 582 5340 9826 ,callgirl san francisco investigation murder 
55475,242 1625 190019 ,new york emigration dominican republic 
9101,339 4410 9789 ,submarine u.s. navy misfit 
123360,5565 ,biography 
5757,10180 10183 11800 ,homosexuality independent film mockumentary 
39428,531 818 10229 207981 ,southern usa based on novel singer south 
9302,238179 238241 238242 ,skab under tv foran nederste hylde 
11000,237 824 1013 1196 1862 2944 6083 158718 201554 210608 ,gay drag queen homophobia florida coming out senator politician lgbt crossdressing 1990s 
249882,1262 2618 10164 173644 178611 ,mountain miracle apparition communism virgin mary 
16388,9673 10183 12392 188993 208725 ,love independent film best friend true love irish catholic 
9737,416 703 772 822 1666 3688 4009 9844 11730 12371 14601 14707 14967 15483 18026 166856 167114 167115 167119 167124 167128 219404 226376 ,miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference to skittles black cop badge action hero corrupt cop 
30765,478 8531 8723 ,china panda poacher 
10474,6075 6496 6782 9713 14964 ,sport basketball addiction friends drug 
22279,392 818 6344 206032 207883 ,england based on novel liverpool theatre company 1940s 
30157,10183 ,independent film 
568,305 1196 1432 2345 4776 9609 9672 9882 10084 10349 10617 14601 14626 156395 184994 189098 193479 226233 226234 226235 226236 ,moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident 
11780,388 5565 160279 208070 220446 ,scotland biography 18th century highlands violent man 
34996,242 490 3133 11221 12105 14819 ,new york philosophy vampire blood student violence 
414,483 849 3259 6969 9104 9715 10486 10525 11268 14819 15009 33518 33626 33981 34156 156116 157166 157583 163455 170383 170652 ,riddle dc comics rose gotham city partner superhero robin broken neck psychologist violence criminal district attorney millionaire falling down stairs tied up tommy gun beretta knocked out super powers disfigurement father figure 
649,549 596 848 851 931 1157 1411 1566 2316 2486 3260 10183 ,prostitute adultery double life dual identity jealousy wife husband relationship brothel dream women's sexual identity fantasy masochism independent film 
1873,5499 5855 13005 ,burma rangoon doctor 
5894,919 1901 3170 6357 6458 10183 ,smoking corner shop cigarette tobacco cigar independent film 
8839,3335 6054 6152 6155 9713 15017 162846 189449 193545 202322 206813 206834 ,halloween friendship supernatural afterlife friends danger ghost disorder young heroes imaginary supernatural ability mischievous children 
20649,11505 13008 14964 18026 ,drug pusher train drug drug lord 
10329,690 2521 3379 33461 ,gorilla kongo diamond mine diamond 
8963,339 1860 2139 2534 3312 4123 4410 4933 6791 162365 198423 217133 221092 226740 226741 226742 ,submarine mutiny russia missile nuclear missile embassy u.s. navy battle for power torpedo military moral dilemma post cold war aircraft carrier chain of command launch code sonar 
26564,1353 5565 14893 ,underground biography art 
8068,75 139 502 534 797 953 2483 2708 3458 9748 10044 10950 14575 14601 14687 14707 18026 41372 154889 187844 226790 ,gunslinger anti terror ambush mexico showdown guitar nudity hitman bartender revenge tragic hero shootout mariachi explosion extreme violence brutality drug lord leg brace concealed weapon flashback bookstore 
8512,5823 9826 12670 155790 195402 207268 ,jazz club murder los angeles private detective film noir neo-noir 
1572,258 444 483 642 703 720 1321 1552 3799 5572 6149 9663 9758 10950 14512 14601 14819 15483 18525 177309 187844 188329 192707 219404 226838 ,bomb taxi riddle robbery detective helicopter gold subway ship fistfight police sequel deception shootout new york city explosion violence car chase fbi agent simon says flashback dump truck aqueduct action hero federal reserve bank 
13552,572 1664 2483 2652 9937 13017 180340 ,sex eroticism nudity nazis suspense drifter voyeur 
6520,3966 10466 10982 177128 177129 ,camelot knight king arthur excalibur knights of the round table 
9073,2526 4676 155529 ,human animal relationship whale killer whale 
10428,293 2157 2483 2812 4563 6104 9835 9864 11615 12190 13130 14512 41249 155555 160840 ,female nudity hacker nudity computer virus virtual reality computer sexual fantasy prank internet cyberpunk teenager new york city secret service computer hacker dream sequence 
17447,237 740 10181 165770 ,gay aids based on play or musical hiv positive 
9886,2588 3321 4565 6135 6566 8662 10919 12190 ,brain childhood memory dystopia pharmaceutical industry computer chip courier cyber cyberpunk 
9482,934 4458 4565 9717 15090 18712 160159 162988 180172 182703 182706 182709 182711 203165 236590 ,judge post-apocalyptic dystopia based on comic police officer based on graphic novel frame up dystopic future framed for murder gene prosthetic limb post holocaust dna testing dredd 2000 ad 
19326,6593 8881 9465 10183 10639 10640 ,stripper jury jurist independent film jury duty verdict 
9344,1525 2201 ,puberty first time 
9071,1388 10183 11614 ,cinema independent film filmmaker 
8973,3419 6152 6333 6506 173162 221387 ,fanatic supernatural wizardry resurrection sect occultism 
47608,1252 3616 10049 41329 187056 ,suicide attempt college teen angst mental illness woman director 
2293,572 4325 8631 41175 157690 162296 168033 171329 171343 171346 179430 ,sex game show slacker shopping mall ex-boyfriend ex-girlfriend relationship jay and silent bob silent man coke bandleader aftercreditsstinger 
9070,10988 12667 155030 173577 191474 201635 203223 203224 ,based on tv series tokusatsu superhero team ethnic diversity super sentai power rangers mighty morphin power rangers mmpr 
68274,4129 5248 9872 175421 ,widow female friendship grief death of husband 
48787,3713 6149 9826 10392 197452 ,chase police murder mute disk 
34574,242 3133 3633 ,new york vampire dracula 
1642,1332 2547 2812 3713 6104 10333 ,cheating new identity computer virus chase computer stalking 
11472,970 1009 6038 13149 168386 ,parent child relationship baby marriage pregnancy child wish 
36196,295 8508 10183 11678 187056 207447 ,library party independent film free spirit woman director librarian 
11980,290 3648 9511 ,angel archangel gabriel menschheit 
58372,2754 4325 11322 207317 ,trauma game show female protagonist christmas 
32646,572 852 1279 3451 6305 6898 10183 12097 15106 40895 189449 202579 235410 235411 ,sex chemical medicine housewife pollution quarantine independent film allergy psychiatrist illness disorder retreat multiple chemical sensitivity (mcs) environmental illness 
10533,818 2871 10223 13149 15060 34094 ,based on novel burning of witches puritan pregnancy period drama extramarital affair 
10802,246 293 1663 2874 3182 4378 7017 ,dancing female nudity go-go dancer spanner seduction striptease sexappeal 
10149,919 1621 3170 6458 8736 10183 13028 ,smoking robber cigarette cigar laden independent film writer 
18402,2673 7323 9672 18035 ,horse savannah based on true story family 
9348,1475 1718 2340 6017 6245 9016 9951 10562 11181 11190 12670 163481 163561 234319 235513 ,telepathy dna paranoia genetics instinct femme fatale alien on the run decapitation sexual attraction los angeles cocoon genetic engineering scientists alien dna 
139408,1946 10590 11004 ,restaurant oil rural setting 
281,445 549 570 796 1566 1595 2964 3088 4562 4563 4565 4566 6149 8440 9826 12190 12670 14819 15009 155790 162845 187056 ,pornography prostitute rape police brutality dream ex-girlfriend future bodyguard rapper virtual reality dystopia minidisc police ex-cop murder cyberpunk los angeles violence criminal private detective revolt woman director 
5967,3296 3344 4344 6091 9457 ,car mechanic letter musical war single 
47939,1480 13017 15162 158534 187056 ,baseball drifter dog korean war woman director 
36834,1310 5933 187056 ,mentor poet woman director 
9090,108 237 242 824 1013 9935 167043 187056 ,transvestism gay new york drag queen homophobia travel road movie woman director 
3512,949 2314 3376 11219 13008 ,terrorist pentagon satellite navy seal train 
52856,187056 ,woman director 
77350,15479 ,fashion 
9560,1956 5334 9673 9714 13149 190061 191795 229895 ,world war ii vineyard love remake pregnancy harvest grape abandoned woman 
9804,270 331 1852 4237 4565 34161 ,ocean tattoo mutant water dystopia doomsday 
31611,4565 11504 208507 ,dystopia black white relations alternative universe 
65796,1632 2490 5565 8099 180234 190970 ,opium loss of eyesight biography sioux wild bill hickok calamity jane 
26258,1964 5739 10103 10325 169995 ,cave waterfall children mistaken identity boy scouts leader 
50797,1157 10786 ,wife husband relationship colonel 
19155,345 1262 1946 4747 5950 6805 14659 14819 182045 206119 ,monk mountain restaurant war photographer christian fashion photographer girl violence albanian macedonia 
76,811 813 814 815 816 1201 197528 215205 224279 233027 233055 ,dialogue sunrise talking soulmates walking austria traveller danube bittersweet romantic vienna 
11017,187056 ,woman director 
37141,567 1523 2604 8508 13130 159947 ,alcohol obsession babysitter party teenager parents 
9382,740 1253 1849 1926 6054 9713 10180 10685 167043 ,aids roommate homicide car journey friendship friends homosexuality escape road movie 
6715,787 ,mississippi 
18256,3098 178649 ,castle voyeurism 
22625,3691 4690 10183 ,forbidden love moral conflict independent film 
2292,1361 3090 179430 ,salesclerk loser aftercreditsstinger 
1909,5906 9673 11857 14781 15106 180077 ,sex addiction love mental institution patient psychiatrist don juan 
8984,6021 6282 10850 34038 ,employee workplace sexual harassment intrigue 
61813,10629 14742 ,vision psychic 
4954,949 3543 3800 4679 9937 ,terrorist transport of prisoners airplane parachuting suspense 
62488,10051 160945 ,heist expectant father 
10531,2587 6460 9137 9748 13005 13006 33740 ,married couple chile pinochet-regime revenge doctor torture humiliation 
11929,516 703 818 1010 2041 2619 9826 9937 10041 11925 12193 13097 18047 33457 207819 212642 212643 212644 212645 212646 ,child abuse detective based on novel bar island suspicion of murder murder suspense dysfunctional family domestic violence reporter maid anger alcoholic accident abusive father abusive husband anti-depressant bangor-maine bank account 
8467,1420 2669 5303 6241 8126 9864 11333 14819 15009 18326 159574 160962 167310 167584 167591 167598 167608 167615 167617 167619 215404 ,gas station motel utah stupidity pill prank cigar smoking violence criminal fired from the job clumsiness stepmother stepdaughter relationship sitting on a toilet aspen colorado parakeet defecation scooter hotel suite endangered species foolish laxative 
10451,1918 2875 5600 13043 18035 ,cooking sense of life daughter dating family 
20156,1328 2334 2589 10183 156455 ,secret nightclub pet shop independent film unhappiness 
18395,293 738 2041 9673 11869 155271 155336 158713 ,female nudity sexuality island love mistress kinky smuggler bdsm 
522,30 444 571 663 774 886 887 1950 2559 2792 2793 2794 6562 10338 10732 12670 18179 155167 162687 173594 180193 207716 232471 ,individual taxi transsexuality fortune teller film business film making film producer vororte film maker boxer film director oddball celebrity morphine movie studio los angeles drug addict cult director theremin handgun trick or treating actor transvestite 
397,90 822 930 2519 2599 4544 5011 5334 6212 ,paris airport in love with enemy canadian necklace fear of flying deal vineyard smuggling 
10525,90 5720 6496 6711 13072 177216 ,paris dallas basketball crisis falling in love referee 
27985,3593 158416 ,wilderness boy and dog 
15789,494 2032 4344 6562 7312 14809 157303 166475 ,father son relationship pop singer musical celebrity road trip dead mother first love goofy 
27303,9937 ,suspense 
21183,494 818 5484 11478 13063 15162 187844 238687 ,father son relationship based on novel reincarnation talking dog car accident dog flashback dog movie 
10954,380 2199 4001 5565 6384 164920 ,brother brother relationship opera eunuch biography dresden opera singer 
47867,727 ,country music 
14275,520 1483 2394 2398 3616 6075 6496 8635 10183 33905 33910 ,chicago sports team ghetto narration college sport basketball high school sports independent film inner city high school student 
1024,456 572 1328 1523 2132 2483 2486 2983 9673 9713 9826 10183 10768 10984 14534 ,mother sex secret obsession literature nudity fantasy passion love friends murder independent film lesbian true relationship 
13701,1643 164181 164186 164193 164199 ,deafness sister-in-law character study uncle nephew relationship für elise 
14819,2064 5767 ,overweight summer camp 
11777,1334 2303 3296 4803 8689 155585 ,wedding vows mathematician car mechanic comet albert einstein halley's comet 
628,90 582 3133 3136 3143 4197 231407 ,paris san francisco vampire plantation pity bite fang vamp 
87729,254 2020 5565 8570 9682 ,france revolution biography president history 
18713,242 2601 13142 ,new york telephone joke gangster 
6280,1009 1279 6007 13149 14760 156810 221297 228611 228637 228638 ,baby medicine media pregnancy scientist science male pregnancy fertility gynaecology ceasarean birth 
9061,570 577 1196 1992 2463 6139 9748 9937 ,rape black people florida professor harvard university innocence revenge suspense 
37108,4379 161155 189151 ,time travel kids medieval times 
6071,160488 ,hoodlum 
11,803 4270 4271 10013 10016 10527 11107 11195 11196 13194 155336 160134 161176 163295 178710 178712 ,android galaxy hermit death star lightsaber jedi rescue mission empire rebellion planet smuggler the force space opera galactic war stormtrooper totalitarianism 
9587,894 10707 10721 33513 174566 174570 174571 174584 187056 ,depression mother daughter relationship pregnant desire chalkboard  nightgown louisa may alcott birth of twins woman director 
19101,818 964 3551 5248 6271 6731 10873 12663 13014 14636 14864 15300 41172 155402 155619 170344 186797 196727 ,based on novel servant private school female friendship boarding school british school little girl orphan india rich poor father daughter relationship schoolgirl presumed dead attic imagination african american servant fantasy life 
49980,9673 10103 18035 170154 ,love children family social services 
18183,715 931 1156 1918 2940 6038 13027 14768 41607 156597 209987 213202 ,chocolate jealousy sister sister relationship cooking mexican revolution marriage wedding single mother recipe magic realism new mexican cinema new latin american cinema 
4476,380 680 818 2504 5973 ,brother brother relationship montana based on novel world war i journey round the world 
11008,2112 4409 5947 6417 9052 11138 162257 ,headquarter military base military service base major military spoof instructor 
47504,8045 10041 232235 ,russian mafia dysfunctional family brothers 
32325,10211 10726 12670 12987 33426 41334 164253 180085 187056 206318 230668 ,east los angeles gang los angeles poverty gang member hispanic mexican american girl gang woman director cholo chola 
43742,2799 158558 189008 207819 208280 ,cruise disabled empire state building accident accident victim 
28313,456 516 641 818 919 1009 1751 1803 2393 2434 2438 2488 3012 4056 5153 6230 7638 7856 10131 34094 ,mother child abuse single parent based on novel smoking baby social work drug addiction adoption liberation social worker self-abandonment court case custody battle son looking for  birth parents surrogate mother racist interracial relationship extramarital affair 
11318,2011 4152 5565 8250 18130 ,queen kingdom biography victorian england psychopathy 
3036,4005 6737 9714 ,human experimentation frankenstein remake 
24070,65 171770 172789 187056 192598 207317 ,holiday rollerblades cross dresser woman director suicide hotline christmas 
8986,549 2005 4750 6517 6593 6664 166462 ,prostitute tree house red-light disctrict young people stripper make a match mob boss 
10510,65 271 1605 1991 2081 2618 4896 207317 ,holiday competition new love santa claus department store miracle wish christmas 
38722,2356 6038 10183 10235 12670 18035 208397 ,immigrant marriage independent film family relationships los angeles family death of wife 
8438,378 1563 2501 3859 10909 33519 207240 207883 211082 215596 223044 ,prison prisoner death row alcatraz lawyer courtroom murder trial 1940s mistreatment public defender prisoner abuse 
11593,2294 4948 8029 ,illegal employment retirement drama 
1945,936 1578 1608 1646 1889 2171 5650 5774 5922 11268 18035 ,loss of mother loss of sister twin sister autism lake kaspar-hauser-syndrom feral child forest north carolina psychologist family 
39310,586 6149 14707 156316 201820 208384 ,new jersey police brutality troubled teen hiphop black youths 
56428,236 703 1706 3298 14760 14964 15127 ,suicide detective experiment hallucination scientist drug killer 
63105,679 4458 9663 ,cyborg post-apocalyptic sequel 
241,625 736 1583 1584 2754 5600 8201 9701 9859 14819 206545 207691 ,sadistic journalist mass murder yellow press trauma daughter satire controversy controversial violence young couple abuse 
9058,110 131 663 815 1332 1820 ,venice italy fortune teller soulmates cheating trip 
527,30 100 236 331 567 570 941 1452 1551 2300 2320 2394 2658 2659 2660 2663 2667 3739 6267 9986 10183 10508 10766 11925 14819 15158 15237 33841 156052 ,individual slum suicide tattoo alcohol rape tradition loss of child indigenous despair violent husband ghetto new zealand maori strong woman lack of prospects maori tradition funeral approved school  crush independent film teacher youth gang domestic violence violence rebellious youth alcohol abuse incest unemployment 
